"GO" "genes"
"process utilizing autophagic mechanism" "POLDIP2/VTA1/GNAI3/VPS35/PRKACA/HSP90AA1/CHMP2B/ZMPSTE24/SCFD1/SPTLC2/HIF1A/TM9SF1/CHMP4B/USP10/BNIP3L/CDC37/NAMPT/RHEB/EIF4G2/GAPDH/ATP6V0B/STX12/CLU/ATP6V1E1/LARS/UBQLN1/SNX14/MAP3K7/RAB1A/CLTC/NPC1/AKT1/RALB/PLK2/ATP6V1B2/MTDH/SCOC/ATP6V1C1/VPS37A/EEF1A1/SNF8/HK2/SQSTM1/VCP/DAPK3/GABARAP/RAB1B/WDR6/UBQLN2/NBR1/HMGB1/RAB12"
"ribonucleoprotein complex export from nucleus" "NUP160/TPR/RIOK2/NDC1/NUP133/POLDIP3/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/LTV1/NCBP1/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/ABCE1/CPSF2/PA2G4/ALYREF/RBM8A"
"retrograde protein transport, ER to cytosol" "UFD1/SEL1L/FAF2/AUP1/SELENOS/OS9/VCP/HSP90B1/UBE2G2/UBE2J1"
"endoplasmic reticulum to cytosol transport" "UFD1/SEL1L/FAF2/AUP1/SELENOS/OS9/VCP/HSP90B1/UBE2G2/UBE2J1"
"nucleotide-excision repair, DNA damage recognition" "RBX1/RAD23B/PARP1/CETN2/UBC/DDB1/COPS6/GPS1/UBB"
"RNA stabilization" "THRAP3/YBX3/ELAVL1/PABPC1/MAPK14/TARDBP/DHX9/HNRNPD/NAF1/NOCT/PAIP1/DHX36"
"positive regulation of mRNA processing" "THRAP3/PRPF19/NUP98/PRDX6/CCNB1/CDC73/TRA2B/NCBP1/SF3B4/NUDT21/DHX36"
"DNA conformation change" "TPR/MCM2/MCM6/XRCC5/DDX1/ACIN1/NAA10/NCAPG/CHD4/ASCC3/H2AFY/SMC4/HNRNPA2B1/TOP2A/NASP/CCNB1/DHX9/ANP32B/G3BP1/SMARCA5/HIST1H4H/RBBP4/HMGB2/HIST1H1E/DHX36/RUVBL2/HIST1H1B/H1FX/HIST1H1C/NOC2L/H1F0/TSPYL1/HMGB1/TOP1/HIST1H4K/HIST1H4D/HIST1H4A"
"regulation of proteasomal protein catabolic process" "PSMC4/PRKACA/PSMC5/PSME1/RBX1/PSMC6/USP14/NOP53/PSMD14/NFE2L2/RAD23B/CLU/UBQLN1/OS9/CSNK1D/AKT1/PLK2/PSMC2/VCP/PLK1/UBB/SMARCC1/RAD23A/UBE2G2/USP7/UBQLN2/UBE2J1/GPX1"
"nucleic acid phosphodiester bond hydrolysis" "RFC2/EXOSC7/REXO2/DDX1/DIS3/NOP14/XRN2/RBX1/CSTF2/KPNB1/GTF2H3/KPNA1/ERI3/RCL1/EXOSC8/RRP36/MRPL44/NCBP1/PARP1/G3BP1/CPSF7/UBC/NOCT/PELO/HMGB2/CPSF2/NUDT21/DDB1/FEN1/UBB/EXOSC1/EXOSC10/CSTF3/AEN/H1F0/HMGB1/SND1/TSN/BOP1"
"DNA-templated transcription, initiation" "PSMC4/WWTR1/BCLAF1/MED17/POLR2B/THRAP3/PSMC5/SMARCB1/PSMC6/POLR2C/MED31/CCND1/GTF2H3/CCNC/DR1/POLR1B/TRIM28/MED10/CDK4/MED4/CDK9/GTF2B/SMARCA5/HIST1H4H/PSMC2/DHX36/FOSL1/TAF7/POLR2A/HMGB1/TAF13/TAF15/HIST1H4K/HIST1H4D/HIST1H4A"
"endodermal cell differentiation" "MMP2/LAMB1/FN1/COL5A1/CDC73/COL4A2/RTF1/ITGAV/COL6A1/MMP14/ITGA5/COL5A2/HSBP1"
"negative regulation of RNA catabolic process" "THRAP3/YBX3/ELAVL1/PABPC1/MAPK14/TARDBP/DHX9/LRPPRC/HNRNPD/NAF1/NOCT/PAIP1/DHX36"
"citrate metabolic process" "SDHA/SDHB/DLST/ACLY/PDHA1/SUCLA2/SDHC/MDH2/DLAT/IDH3A/IDH2"
"positive regulation of translation" "YBX3/ELAVL1/PABPC1/MAPK1/POLDIP3/EIF3D/EIF3E/HNRNPL/C1QBP/RPL5/CDK4/DHX9/THBS1/HNRNPD/EIF4A3/CDC123/EIF5A2/EEF2/PAIP1/TRMT10C/DHX36/RPS4X/YTHDF2"
"regulation of mRNA catabolic process" "THRAP3/YBX3/ELAVL1/PABPC1/EXOSC7/TNPO1/DIS3/KHSRP/ZC3H14/MAPK14/EXOSC8/TARDBP/DHX9/HNRNPD/AKT1/UBC/NOCT/CARHSP1/UBB/EXOSC1/PAIP1/DHX36/YTHDF2"
"regulation of nucleocytoplasmic transport" "TPR/PPP1R12A/RIOK2/IPO5/PRKACA/PTGS2/RBM22/MAPK1/EMD/ZPR1/MAPK14/TRIM28/DHX9/ANP32B/RBM26/BAG3/IWS1/NOLC1/HDAC3/PTPN11"
"macroautophagy" "POLDIP2/VTA1/GNAI3/VPS35/PRKACA/CHMP2B/SCFD1/SPTLC2/HIF1A/CHMP4B/BNIP3L/CDC37/RHEB/GAPDH/ATP6V0B/STX12/ATP6V1E1/UBQLN1/SNX14/MAP3K7/RAB1A/NPC1/AKT1/RALB/ATP6V1B2/SCOC/ATP6V1C1/VPS37A/SNF8/SQSTM1/VCP/GABARAP/RAB1B/UBQLN2/NBR1/RAB12"
"regulation of mitotic cell cycle phase transition" "ANLN/CUL3/SPDL1/TPR/RIOK2/PRKACA/DYNC1I2/HSP90AA1/NDC80/PSME1/RBX1/NOP53/PPP2R1A/CCND1/IK/NEK2/NEK6/DUSP1/MAD2L1BP/PSMG2/TUBG1/CCNB1/CDC73/CDK4/ACTR1A/RB1/CSNK1D/DYNC1LI1/PLK2/CETN2/BUB3/MAD2L1/RAD21/PLK1/CDT1/TUBA1A/DDB1/PLRG1/CKAP5/RCC2/PBX1/TUBB4B/DYNC1H1/DCTN1/PHB2"
"negative regulation of nuclear division" "SPDL1/TPR/NDC80/NAA10/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"protein-DNA complex subunit organization" "PSMC4/MCM2/SMARCE1/PSMC5/SMARCB1/RBX1/PSMC6/GTF2H3/H2AFY/DR1/RAD23B/NASP/ANP32B/GTF2B/RB1/PARP1/CETN2/UBC/SMARCA5/HIST1H4H/PSMC2/RBBP4/HMGB2/CDT1/DDB1/HIST1H1E/UBB/SMARCC1/TAF7/HIST1H1B/H1FX/HIST1H1C/H1F0/TSPYL1/HMGB1/HIST1H4K/HIST1H4D/HIST1H4A"
"protein localization to chromosome" "SPDL1/XRCC5/NDC80/IK/H2AFY/CCT4/TCP1/RB1/CCT5/BUB3/CCT3/RAD21/PLK1/CDT1/RCC2/RUVBL2/HIST1H1B"
"vesicle targeting, to, from or within Golgi" "CUL3/TMED2/SCFD1/NAPA/GOSR1/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/TRAPPC1/TMED10/RAB1B/TRAPPC5/TMED9"
"protein deubiquitination" "PSMB1/PSMC4/UFD1/UBE2D1/PSMC5/PSME1/PSMC6/HIF1A/PSMB5/YY1/USP14/PSMD7/USP10/NOP53/DDX58/PSMD3/PSMD11/PSMD9/PSMD14/RAD23B/NEDD8/MAP3K7/PSMB7/PSMA5/CCNA2/UBC/PSMC2/PSMD6/VCP/UBB/PSMD1/TOMM20/PSMD2/RAD23A/USP7/PSMD12/PSMB3"
"regulation of spindle checkpoint" "TPR/NDC80/DUSP1/CCNB1/DYNC1LI1/MAD2L1/CDT1"
"regulation of mitotic cell cycle spindle assembly checkpoint" "TPR/NDC80/DUSP1/CCNB1/DYNC1LI1/MAD2L1/CDT1"
"regulation of mitotic spindle checkpoint" "TPR/NDC80/DUSP1/CCNB1/DYNC1LI1/MAD2L1/CDT1"
"tRNA metabolic process" "SARS/NSUN2/KARS/IARS2/EXOSC7/DDX1/RTRAF/AARS/RTCB/USP14/GARS/AIMP2/RARS/DARS/FARSB/EXOSC8/GRSF1/LARS/NARS/YARS/EPRS/AIMP1/TRMT61A/QARS/TRMT10C/ZBTB8OS/FARSA/PPA1/IARS"
"ribonucleoprotein complex localization" "NUP160/TPR/RIOK2/NDC1/NUP133/POLDIP3/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/LTV1/NCBP1/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/ABCE1/CPSF2/PA2G4/ALYREF/RBM8A"
"aerobic respiration" "UQCRC1/SDHA/HIF1A/NOP53/SDHB/DLST/PDHA1/SUCLA2/SDHC/MDH2/DLAT/OXA1L/VCP/IDH3A/IDH2/COX2"
"electron transport chain" "UQCRC1/ME1/P4HA2/SDHA/NDUFB2/GSR/ETFB/UGDH/SDHB/NDUFA8/NDUFA1/UQCR11/CCNB1/FDX1/NDUFA9/ETFA/SH3BGRL3/SDHC/NDUFB9/NDUFC2/UQCRQ/CYB5A/UQCRFS1/NDUFV2/ADH5/COX2/ND5"
"regulation of intracellular protein transport" "TPR/RIOK2/IPO5/PRKACA/PTGS2/RBM22/MAPK1/EMD/BNIP3L/OAZ1/PDCD5/ZPR1/MAPK14/TMEM30A/TRIM28/OS9/ANP32B/NPEPPS/BAG3/SAR1B/IWS1/NOLC1/MFF/KIF5B/HDAC3/PTPN11/UBE2G2/INSIG1/MYO1C/UBE2J1/GDI1"
"tricarboxylic acid cycle" "SDHA/SDHB/DLST/PDHA1/SUCLA2/SDHC/MDH2/DLAT/IDH3A/IDH2"
"mRNA transport" "NUP160/TPR/NDC1/NUP133/KHSRP/POLDIP3/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/DHX9/NCBP1/LRPPRC/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/EIF5A2/CPSF2/ALYREF/MYO1C/RBM8A"
"maturation of SSU-rRNA" "RIOK2/NOP14/RPS19/UTP6/RCL1/RRP36/NOL11/UTP3/RPS8/DCAF13/TSR1/WDR46"
"protein N-linked glycosylation" "B4GALT1/MAGT1/RPN2/DAD1/GFPT2/TMEM165/STT3A/UGGT1/PMM2/STT3B/RPN1/VCP/UBE2G2/GFPT1/UBE2J1"
"chaperone-mediated protein folding" "HSPA5/ST13/PDCD5/HSPA9/P3H1/CLU/CANX/DNAJB1/TOR1A/HSPA13/PDIA4/PPIB/DNAJC7/CRTAP/CALR"
"endoderm development" "MMP2/LAMB1/FN1/HDAC1/COL5A1/CDC73/COL4A2/LAMC1/RTF1/ITGAV/COL6A1/PELO/MMP14/ITGA5/COL5A2/HSBP1"
"tricarboxylic acid metabolic process" "SDHA/SDHB/DLST/ACLY/PDHA1/SUCLA2/SDHC/MDH2/DLAT/IDH3A/IDH2"
"regulation of DNA-templated transcription, initiation" "PSMC4/BCLAF1/PSMC5/PSMC6/DR1/GTF2B/PSMC2/DHX36/FOSL1/TAF7/HMGB1"
"nuclear envelope organization" "ZMPSTE24/CHMP4B/EMD/NEK6/TARDBP/CCNB1/TOR1A/LMNA/PLK1/REEP4/BANF1/DCTN1"
"vesicle coating" "CUL3/TMED2/SCFD1/NAPA/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/TRAPPC1/TMED10/RAB1B/TRAPPC5/TMED9"
"response to heat" "HSPA5/TPR/DNAJA2/PRKACA/PTGS2/HSP90AA1/DNAJA1/PEBP1/MAPK1/DNAJB6/HSPA9/DNAJB1/THBS1/MYOF/SOD1/AKT1/HSPD1/HIKESHI/BAG3/HSPA13/VCP/DNAJC7/DHX36/HDAC2/HSBP1"
"sterol biosynthetic process" "IDI1/CYB5R3/SQLE/KPNB1/HMGCS1/DHCR24/ACAT2/ACLY/ERG28/SOD1/ERLIN2/CYB5R1/PMVK/ACAA2/FASN/INSIG1"
"COPII-coated vesicle budding" "CUL3/TMED2/SCFD1/NAPA/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/TRAPPC1/TMED10/RAB1B/TRAPPC5/INSIG1"
"cellular response to heat" "HSPA5/TPR/PRKACA/PTGS2/HSP90AA1/MAPK1/DNAJB6/HSPA9/DNAJB1/THBS1/MYOF/HSPD1/HIKESHI/BAG3/HSPA13/VCP/DNAJC7/DHX36/HDAC2/HSBP1"
"regulation of alternative mRNA splicing, via spliceosome" "RBM5/PTBP1/THRAP3/DDX17/HNRNPL/DDX5/SRSF4/RBM25/SMU1/TRA2B/WTAP/SRSF2/MAGOH/RBM8A"
"positive regulation of RNA splicing" "THRAP3/RBM22/ZPR1/PRPF19/NUP98/PRDX6/TRA2B/NCBP1/SF3B4/HNRNPLL/POLR2A"
"interleukin-12-mediated signaling pathway" "MTAP/HSPA9/CAPZA1/TCP1/HNRNPA2B1/SNRPA1/SOD1/JAK1/PAK2/P4HB/PPIA/MIF"
"negative regulation of intrinsic apoptotic signaling pathway" "KDM1A/YBX3/PTGS2/ENO1/DNAJA1/HIF1A/PPIF/NFE2L2/HDAC1/CLU/SELENOS/TPT1/AKT1/HYOU1/NOC2L/OPA1/GPX1/MIF"
"regulation of mRNA 3'-end processing" "SNRPA/PAPOLA/ZC3H14/CCNB1/CDC73/CDK9/NCBP1/CPSF7/NUDT21/DHX36"
"endoderm formation" "MMP2/LAMB1/FN1/COL5A1/CDC73/COL4A2/RTF1/ITGAV/COL6A1/MMP14/ITGA5/COL5A2/HSBP1"
"coenzyme metabolic process" "ME1/MTHFD2/PTGS2/ENO1/SLC25A1/CYB5R3/HIF1A/PGK1/NAMPT/GAPDH/HMGCS1/COQ10B/DLST/ACOT9/ACSL3/PGLS/PPT1/ACLY/PDHA1/MCCC2/HSD17B4/SUCLA2/FPGS/NDUFA9/PGD/MDH2/AASDHPPT/DLAT/HK2/PDXK/PMVK/VCP/CYB5A/DDIT4/STAT3/FASN/PGAM1/IDH2/PNP/ACBD6"
"regulation of cell cycle phase transition" "ANLN/CUL3/SPDL1/TPR/RIOK2/PRKACA/DYNC1I2/HSP90AA1/NDC80/PSME1/RBX1/NOP53/PPP2R1A/CCND1/IK/H2AFY/NEK2/NEK6/DUSP1/MAD2L1BP/PSMG2/TUBG1/CCNB1/CDC73/CDK4/ACTR1A/RB1/CSNK1D/DYNC1LI1/PLK2/CETN2/BUB3/MAD2L1/RAD21/PLK1/CDT1/TUBA1A/DDB1/PLRG1/CKAP5/RCC2/PBX1/TUBB4B/DYNC1H1/DCTN1/PHB2"
"mRNA stabilization" "THRAP3/YBX3/ELAVL1/PABPC1/MAPK14/TARDBP/DHX9/HNRNPD/NOCT/PAIP1"
"nucleotide-excision repair" "POLR2B/RFC2/RBX1/POLR2C/PRPF19/GTF2H3/RAD23B/PARP1/CETN2/UBC/DDB1/COPS6/GPS1/UBB/RAD23A/POLR2A/USP7/TCEA1/HMGB1"
"cellular response to interleukin-12" "MTAP/HSPA9/CAPZA1/TCP1/HNRNPA2B1/SNRPA1/SOD1/JAK1/PAK2/P4HB/PPIA/MIF"
"regulation of cellular protein catabolic process" "PSMC4/VPS35/PRKACA/HSP90AA1/PSMC5/PSME1/RBX1/PSMC6/USP14/LAPTM4B/NOP53/PSMD14/NFE2L2/RAD23B/CLU/RPL5/UBQLN1/OS9/CSNK1D/AKT1/PLK2/PSMC2/VCP/PLK1/UBB/SMARCC1/RAD23A/UBE2G2/USP7/UBQLN2/UBE2J1/GPX1"
"ribosomal small subunit biogenesis" "RIOK2/NOP14/RPS19/UTP6/RCL1/RRP36/EMG1/NOL11/UTP3/LTV1/RPS8/DCAF13/TSR1/WDR46"
"regulation of macroautophagy" "POLDIP2/GNAI3/VPS35/PRKACA/SCFD1/SPTLC2/HIF1A/CHMP4B/BNIP3L/CDC37/RHEB/GAPDH/ATP6V0B/ATP6V1E1/MAP3K7/NPC1/AKT1/RALB/ATP6V1B2/SCOC/ATP6V1C1/RAB1B/UBQLN2/RAB12"
"nuclear division" "ANLN/CUL3/SPDL1/TPR/RIOK2/NDC1/NDC80/CHMP2B/PEBP1/PRMT5/CHMP4B/NAA10/PPP2R1A/UBE2S/KPNB1/NCAPG/CCND1/IK/CCNG1/H2AFY/SMC4/ACTR3/NEK2/CCNI/NEK6/DUSP1/PDS5A/MAD2L1BP/PIN1/PSMG2/TUBG1/TOP2A/CCNB1/CDCA8/RB1/DYNC1LI1/CCNA2/BUB3/RACGAP1/MAD2L1/RAD21/PLK1/CDT1/UBB/CALR/PHB2"
"secondary alcohol biosynthetic process" "IDI1/CYB5R3/SQLE/KPNB1/HMGCS1/DHCR24/ACAT2/ACLY/ERG28/SOD1/ERLIN2/PMVK/ACAA2/FASN/INSIG1"
"positive regulation of mRNA metabolic process" "THRAP3/PABPC1/KHSRP/PRPF19/NUP98/PRDX6/CCNB1/CDC73/TRA2B/NCBP1/HNRNPD/SF3B4/NUDT21/DHX36/YTHDF2"
"response to oxidative stress" "PPP5C/GCLM/VRK2/PTGS2/PEBP1/MAPK1/HIF1A/PSMB5/GSR/PON2/PPIF/COL1A1/RWDD1/H2AFY/NFE2L2/DHCR24/SFPQ/PRDX6/DUSP1/PRDX4/STAU1/PRDX5/PXDN/SELENOS/BTG1/UBQLN1/TOR1A/HNRNPD/SOD1/AKT1/SDHC/PARP1/PYCR2/RHOB/HSPD1/CCNA2/MMP14/PRDX3/EEF2/PRDX2/OXSR1/NET1/FOSL1/P4HB/KPNA4/HDAC2/ND5/GPX1"
"mRNA polyadenylation" "PABPC1/SNRPA/PAPOLA/ZC3H14/CSTF2/GRSF1/CDC73/CDK9/CPSF7/CPSF2/NUDT21/CSTF3"
"response to interleukin-12" "MTAP/HSPA9/CAPZA1/TCP1/HNRNPA2B1/SNRPA1/SOD1/JAK1/PAK2/P4HB/PPIA/MIF"
"vesicle targeting, rough ER to cis-Golgi" "CUL3/TMED2/SCFD1/NAPA/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/TRAPPC1/TMED10/RAB1B/TRAPPC5"
"COPII vesicle coating" "CUL3/TMED2/SCFD1/NAPA/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/TRAPPC1/TMED10/RAB1B/TRAPPC5"
"positive regulation of protein import" "TPR/IPO5/PTGS2/RBM22/MAPK1/PDCD5/ZPR1/MAPK14/TRIM28/BAG3/HDAC3"
"regulation of autophagy" "POLDIP2/GNAI3/VPS35/PRKACA/ZMPSTE24/SCFD1/SPTLC2/HIF1A/CHMP4B/USP10/BNIP3L/CDC37/NAMPT/RHEB/EIF4G2/GAPDH/ATP6V0B/ATP6V1E1/LARS/MAP3K7/NPC1/AKT1/RALB/PLK2/ATP6V1B2/MTDH/SCOC/ATP6V1C1/EEF1A1/HK2/DAPK3/RAB1B/WDR6/UBQLN2/HMGB1/RAB12"
"regulation of oxidative stress-induced intrinsic apoptotic signaling pathway" "HIF1A/NFE2L2/SFPQ/UBQLN1/SOD1/AKT1/PARP1/P4HB/GPX1"
"regulation of proteolysis involved in cellular protein catabolic process" "PSMC4/PRKACA/PSMC5/PSME1/RBX1/PSMC6/USP14/NOP53/PSMD14/NFE2L2/RAD23B/CLU/RPL5/UBQLN1/OS9/CSNK1D/AKT1/PLK2/PSMC2/VCP/PLK1/UBB/SMARCC1/RAD23A/UBE2G2/USP7/UBQLN2/UBE2J1/GPX1"
"mRNA export from nucleus" "NUP160/TPR/NDC1/NUP133/POLDIP3/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/NCBP1/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/CPSF2/ALYREF/RBM8A"
"mRNA-containing ribonucleoprotein complex export from nucleus" "NUP160/TPR/NDC1/NUP133/POLDIP3/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/NCBP1/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/CPSF2/ALYREF/RBM8A"
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "NOP14/RPS19/UTP6/RCL1/RRP36/UTP3/RPS8/DCAF13/TSR1/WDR46"
"antibiotic metabolic process" "SDHA/SDHB/PRDX6/DLST/PRDX4/PRDX5/PXDN/ACLY/PDHA1/SUCLA2/SOD1/SDHC/MDH2/DLAT/PRDX3/IDH3A/PRDX2/STAT3/IDH2/ADH5/COX2/GPX1"
"protein localization to mitochondrion" "TOMM34/HSP90AA1/DNAJA1/SAMM50/BNIP3L/PDCD5/PITRM1/GRPEL1/MTCH2/TIMM17A/TIMM10/NMT1/NPEPPS/AKT1/HSPD1/BAG3/HK2/CALM3/MFF/HSPA4/TOMM20/TIMM23"
"endosomal transport" "EHD2/TBC1D23/AP3D1/VPS35/RNF126/CHMP2B/RAB10/CMTM6/CHMP4B/LAPTM4B/AP1S1/YKT6/GOSR1/RAB35/SNX9/CLTC/UBC/VPS37A/SNF8/SQSTM1/RHOBTB3/VCP/ARF6/UBB/ARHGAP1/RAB6A/RAB11B/DCTN1"
"RNA polyadenylation" "PABPC1/SNRPA/PAPOLA/ZC3H14/CSTF2/GRSF1/CDC73/CDK9/CPSF7/CPSF2/NUDT21/CSTF3"
"positive regulation of chromosome segregation" "CUL3/H2AFY/SFPQ/CCNB1/RB1/RAD21/CDT1/FEN1/RCC2"
"regulation of transcription initiation from RNA polymerase II promoter" "PSMC4/PSMC5/PSMC6/DR1/GTF2B/PSMC2/DHX36/TAF7/HMGB1"
"regulation of G2/M transition of mitotic cell cycle" "PRKACA/DYNC1I2/HSP90AA1/RBX1/NOP53/PPP2R1A/CCND1/NEK2/TUBG1/CCNB1/CDK4/ACTR1A/CSNK1D/CETN2/RAD21/PLK1/TUBA1A/CKAP5/RCC2/PBX1/TUBB4B/DYNC1H1/DCTN1"
"virion assembly" "VTA1/CHMP2B/CHMP4B/RAB1A/UBC/VPS37A/SNF8/UBB/RAB1B/PPIA"
"regulation of protein localization to nucleus" "TPR/IPO5/PTGS2/RBM22/MAPK1/ZPR1/MAPK14/CCT4/TCP1/PIN1/TRIM28/AKT1/PARP1/CCT5/BAG3/LMNA/CCT3/NOLC1/PLK1/HDAC3"
"regulation of RNA binding" "EIF3D/EIF3E/HNRNPL/CDK9/NCBP1/EIF4A3"
"negative regulation of apoptotic signaling pathway" "KDM1A/SLC25A5/GCLM/YBX3/GNAI3/PTGS2/ENO1/DNAJA1/HIF1A/PPIF/GNAI2/NFE2L2/HDAC1/CLU/SELENOS/TPT1/THBS1/ITGAV/AKT1/HYOU1/LMNA/HMGB2/ACAA2/PRELID1/QARS/NOC2L/OPA1/GPX1/MIF"
"peptidyl-proline modification" "P4HA2/FKBP14/PPIF/P3H1/FKBP9/PIN1/PPIL4/PPIB/PPIC/CRTAP/P4HB/PPIA"
"RNA phosphodiester bond hydrolysis" "EXOSC7/REXO2/DIS3/NOP14/XRN2/CSTF2/ERI3/RCL1/EXOSC8/RRP36/MRPL44/NCBP1/CPSF7/NOCT/CPSF2/NUDT21/FEN1/EXOSC1/EXOSC10/CSTF3/SND1/TSN/BOP1"
"regulation of cell cycle G2/M phase transition" "PRKACA/DYNC1I2/HSP90AA1/RBX1/NOP53/PPP2R1A/CCND1/H2AFY/NEK2/TUBG1/CCNB1/CDK4/ACTR1A/CSNK1D/CETN2/RAD21/PLK1/TUBA1A/CKAP5/RCC2/PBX1/TUBB4B/DYNC1H1/DCTN1"
"positive regulation of intracellular transport" "EHD2/TPR/RIOK2/IPO5/PRKACA/PTGS2/RBM22/MTMR2/MAPK1/EMD/OAZ1/PDCD5/ZPR1/MAPK14/TMEM30A/TRIM28/DHX9/ANP32B/RBM26/NPEPPS/BAG3/SAR1B/MFF/KIF5B/HDAC3/DYNC1H1/MYO1C"
"establishment of protein localization to mitochondrion" "TOMM34/HSP90AA1/DNAJA1/SAMM50/BNIP3L/PDCD5/PITRM1/GRPEL1/TIMM17A/TIMM10/NMT1/NPEPPS/AKT1/HSPD1/BAG3/HK2/CALM3/MFF/HSPA4/TOMM20/TIMM23"
"positive regulation of telomere maintenance via telomere lengthening" "XRCC5/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/NAF1/CCT5/CCT3/DHX36"
"regulation of gene silencing by miRNA" "POLR2B/ELAVL1/ZMPSTE24/POLR2C/DDX5/MAP2K2/DHX9/PPP3CA/HIST1H4H/STAT3/MAP2K1/POLR2A/HIST1H4K/HIST1H4D/HIST1H4A"
"negative regulation of RNA splicing" "PTBP1/HNRNPL/C1QBP/RPS13/SRSF4/PTBP3/HNRNPA2B1/RBM42"
"transcription initiation from RNA polymerase II promoter" "PSMC4/WWTR1/MED17/POLR2B/THRAP3/PSMC5/PSMC6/POLR2C/MED31/CCND1/GTF2H3/CCNC/DR1/TRIM28/MED10/CDK4/MED4/CDK9/GTF2B/PSMC2/DHX36/TAF7/POLR2A/HMGB1/TAF13/TAF15"
"vesicle organization" "VTA1/CUL3/AP3D1/GNAI3/CHMP2B/TMED2/SCFD1/SNAP23/CHMP4B/LAPTM4B/NAPA/WASL/GOSR1/GOLPH3/STX12/PPP6C/NECTIN2/RAB1A/SCARB2/USO1/CSNK1D/SEC24D/SAR1B/VPS37A/SNF8/SQSTM1/PRKCI/RAB8B/TRAPPC1/TMED10/KIF5B/RAB1B/CALR/TRAPPC5/TMED9/INSIG1"
"regulation of transcription of nucleolar large rRNA by RNA polymerase I" "SMARCB1/NOP53/H2AFY/NCL/NOL11/PWP1"
"positive regulation of protein import into nucleus" "TPR/IPO5/PTGS2/RBM22/MAPK1/ZPR1/MAPK14/TRIM28/BAG3/HDAC3"
"negative regulation of release of cytochrome c from mitochondria" "PPIF/CLU/AKT1/LMNA/PRELID1/OPA1/GPX1"
"regulation of telomerase RNA localization to Cajal body" "CCT4/TCP1/NAF1/CCT5/CCT3/EXOSC10/RUVBL2"
"response to oxygen levels" "PTGS2/ENO1/PLOD1/MMP2/SCFD1/RBX1/HIF1A/PGK1/BNIP3L/NOP53/NAMPT/COL1A1/NFE2L2/ACTN4/CCNB1/UBQLN1/CDK4/THBS1/NPEPPS/AKT1/HSPD1/CCNA2/HYOU1/UBC/PLOD2/MMP14/HK2/LMNA/HIF1AN/HSP90B1/ACAA2/DDIT4/UBB/P4HB/HDAC2/LPAR1/ND5/OPA1"
"positive regulation of intracellular protein transport" "TPR/RIOK2/IPO5/PRKACA/PTGS2/RBM22/MAPK1/EMD/OAZ1/PDCD5/ZPR1/MAPK14/TMEM30A/TRIM28/ANP32B/NPEPPS/BAG3/SAR1B/MFF/KIF5B/HDAC3/MYO1C"
"intrinsic apoptotic signaling pathway" "KDM1A/BCLAF1/CUL3/YBX3/PTGS2/ENO1/DNAJC10/DNAJA1/ERP29/HIF1A/PPIF/DDX5/NFE2L2/HDAC1/SFPQ/CLU/SELENOS/TPT1/UBQLN1/SOD1/AKT1/PARP1/HYOU1/DDIT4/HINT1/UBB/PHLDA3/AEN/P4HB/NOC2L/OPA1/GPX1/MIF/APOPT1"
"cholesterol biosynthetic process" "IDI1/CYB5R3/SQLE/KPNB1/HMGCS1/DHCR24/ACAT2/ACLY/SOD1/ERLIN2/PMVK/ACAA2/FASN/INSIG1"
"protein hydroxylation" "P4HA2/PLOD1/PLOD3/P3H1/PLOD2/HIF1AN/CRTAP/P4HB"
"regulation of DNA metabolic process" "KDM1A/RFC2/TIPIN/XRCC5/HSP90AA1/ZMPSTE24/MAPK1/PRMT5/PPP2R1A/GTPBP4/TNFAIP1/PPP2CA/KPNA1/CCT4/NEK2/DUSP1/TCP1/PDS5A/HNRNPA2B1/DEK/TRIM28/DHX9/CDK9/FAM129B/HNRNPD/AKT1/PARP1/CCNA2/NAF1/CCT5/CCT3/CDT1/HIST1H1E/EXOSC10/DHX36/UBE2N/ALYREF/HIST1H1B/H1FX/USP7/HIST1H1C/H1F0/HMGB1"
